City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,sitka,57.0531,-135.33,4.59,73,14,2.99,US,1673305309
254,komsomolskiy,40.4272,71.7189,5.4,87,75,1.03,UZ,1673305310
255,riyadh,24.6877,46.7219,15.08,80,46,5.54,SA,1673305209
256,igrim,63.1906,64.4162,-20.7,95,97,1.73,RU,1673305311
257,rio grande city,26.3798,-98.8203,23.95,49,79,2.07,US,1673305312
258,bonavista,48.6499,-53.1147,-3.55,64,94,10.39,CA,1673305313
259,asosa,10.0667,34.5333,17.43,37,38,1.92,ET,1673305313
260,cayenne,4.9333,-52.3333,26.02,83,75,3.09,GF,1673305314
261,soubre,5.7856,-6.6083,23.09,92,22,1.15,CI,1673305315
262,piracanjuba,-17.3028,-49.0167,20.33,93,100,1.54,BR,1673305316
263,mayor pablo lagerenza,-19.9309,-60.7718,29.33,46,89,1.83,PY,1673305317
264,vao,-22.6667,167.4833,24.55,67,13,8.63,NC,1673305318
265,matara,5.9485,80.5353,22.59,90,41,2.24,LK,1673305320
266,puerto leguizamo,-0.1934,-74.7819,24.78,82,93,0.86,CO,1673305321
267,san quintin,30.4833,-115.95,17.92,49,86,3.74,MX,1673305322
268,sobolevo,54.4299,31.8996,-6.57,94,100,8.92,RU,1673305323
269,beringovskiy,63.05,179.3167,-6.67,84,100,7.25,RU,1673305326
270,coahuayana,18.7333,-103.6833,28.64,55,2,2.48,MX,1673305327
271,upernavik,72.7868,-56.1549,-26.67,98,100,3.27,GL,1673305328
272,kavaratti,10.5669,72.642,26.95,73,5,4.4,IN,1673305330
273,sabang,5.8933,95.3214,26.2,68,95,1.37,ID,1673305331
274,sarkand,45.41,79.9186,-3.85,90,85,1.52,KZ,1673305333
275,luocheng,29.3848,104.0286,8.52,77,15,0.63,CN,1673305334
276,camopi,3.1655,-52.3158,22.34,99,57,1.14,GF,1673305335
277,meulaboh,4.1363,96.1285,23.08,91,99,1.84,ID,1673305337
278,tateyama,34.9833,139.8667,6.96,53,61,11.84,JP,1673305080
279,pangkalanbuun,-2.6833,111.6167,22.73,96,100,0.95,ID,1673305339
280,vostok,46.4856,135.8833,-26.13,98,63,2.33,RU,1673305340
281,samarai,-10.6167,150.6667,28.11,73,86,2.22,PG,1673305341
282,nzega,-2.479,29.5564,12.36,90,96,1.84,RW,1673305342
283,chumikan,54.7183,135.315,-24.69,87,35,8.18,RU,1673305343
284,esperance,-33.8667,121.9,19.14,67,9,7.09,AU,1673305344
285,goderich,43.7501,-81.7165,1.06,74,25,6.72,CA,1673305345
286,bethel,41.3712,-73.414,3.85,74,7,2.5,US,1673305347
287,valkeakoski,61.2642,24.0312,-4.79,90,100,5.15,FI,1673305349
288,dakar,14.6937,-17.4441,25.49,48,100,8.55,SN,1673305252
289,puerto carreno,6.189,-67.4859,29.08,59,100,3.92,CO,1673305351
290,saint anthony,45.0205,-93.218,0.64,86,100,4.12,US,1673305352
291,sukhobezvodnoye,57.0491,44.8891,-37.92,100,22,0.68,RU,1673305353
292,ixtapa,20.7,-105.2,25.68,82,0,2.68,MX,1673305354
293,zhigansk,66.7697,123.3711,-45.58,100,100,2.45,RU,1673305354
294,los llanos de aridane,28.6585,-17.9182,16.86,72,75,3.6,ES,1673305355
295,doha,25.2867,51.5333,19.99,83,0,5.66,QA,1673305254
296,mocuba,-16.8392,36.9856,22.74,98,100,0.69,MZ,1673305357
297,kargasok,59.0556,80.8572,-23.43,95,100,4.4,RU,1673305358
298,lorengau,-2.0226,147.2712,28.28,74,96,1.36,PG,1673305358
299,dukat,62.55,155.55,-38.96,98,27,1.76,RU,1673305359
300,hualmay,-11.0964,-77.6139,22.26,74,71,4.55,PE,1673305360
301,karpathos,35.507,27.2132,15.98,67,0,5.14,GR,1673305361
302,qui nhon,13.7667,109.2333,22.21,91,98,3.66,VN,1673305317
303,pisco,-13.7,-76.2167,22.79,76,14,3.22,PE,1673305363
304,panama city,8.9936,-79.5197,25.8,84,34,2.7,PA,1673305281
305,charters towers,-20.1,146.2667,28.2,51,98,2.94,AU,1673305365
306,kaspiysk,42.8816,47.6392,-4.87,73,75,2.0,RU,1673305366
307,funadhoo,6.15,73.2667,26.86,73,100,2.69,MV,1673305367
308,bjornevatn,69.6672,29.9847,-6.21,79,40,8.23,NO,1673305367
309,maarianhamina,60.0973,19.9348,0.92,93,100,5.66,AX,1673305368
310,adre,13.4667,22.2,16.12,23,67,6.58,TD,1673305369
311,langfang,39.5097,116.6947,-2.0,48,2,2.16,CN,1673305370
312,henties bay,-22.116,14.2845,18.64,86,3,0.35,NA,1673305371
313,soyo,-6.1349,12.3689,25.2,85,96,1.57,AO,1673305372
314,wang saphung,17.301,101.7685,22.26,68,96,0.83,TH,1673305328
315,ustyuzhna,58.8394,36.4321,-18.95,84,85,5.48,RU,1673305374
316,diego de almagro,-26.3667,-70.05,23.08,26,0,4.22,CL,1673305375
317,novyy urgal,51.0736,132.5642,-33.74,100,100,0.67,RU,1673305376
318,thompson,55.7435,-97.8558,-13.51,95,100,3.02,CA,1673305377
319,alenquer,-1.9417,-54.7383,27.4,70,91,0.58,BR,1673305378
320,ndola,-12.9587,28.6366,15.05,98,98,0.97,ZM,1673305379
321,havre-saint-pierre,50.2334,-63.5986,-11.79,70,100,2.71,CA,1673305379
322,pevek,69.7008,170.3133,-25.13,96,100,0.78,RU,1673305380
323,yantal,56.8471,105.2542,-10.48,78,38,6.5,RU,1673305382
324,rebrikha,53.0733,82.3408,-24.21,93,25,4.93,RU,1673305383
325,hokitika,-42.7167,170.9667,20.31,62,100,2.72,NZ,1673305267
326,republic,37.12,-93.4802,11.89,47,0,5.66,US,1673305385
327,puerto escondido,15.85,-97.0667,27.46,63,4,1.78,MX,1673305386
328,biak,-0.9131,122.8766,25.23,75,100,0.56,ID,1673305387
329,urusha,54.05,122.9,-26.04,100,98,0.66,RU,1673305387
330,ponte nova,-20.4164,-42.9086,21.19,95,100,1.4,BR,1673305388
331,namibe,-15.1961,12.1522,22.39,68,83,2.57,AO,1673305389
332,ondjiva,-17.0667,15.7333,25.46,39,100,1.15,AO,1673305391
333,tautira,-17.7333,-149.15,26.75,79,99,7.3,PF,1673305392
334,srednekolymsk,67.45,153.6833,-41.99,97,92,0.97,RU,1673305393
335,morant bay,17.8815,-76.4093,25.39,82,11,2.4,JM,1673305394
336,chicama,-7.8447,-79.1469,23.01,66,61,4.02,PE,1673305395
337,diamantino,-14.4086,-56.4461,23.09,93,100,2.97,BR,1673305395
338,namatanai,-3.6667,152.4333,28.26,71,36,1.59,PG,1673305396
339,souillac,-20.5167,57.5167,24.91,81,41,4.68,MU,1673305397
340,makali,8.6333,-11.6667,22.77,27,82,1.55,SL,1673305398
341,vila velha,-20.3297,-40.2925,25.53,88,100,1.79,BR,1673305399
342,mehamn,71.0357,27.8492,-6.03,79,40,6.69,NO,1673305400
343,deputatskiy,69.3,139.9,-32.24,98,100,1.06,RU,1673305402
344,bambanglipuro,-7.95,110.2833,24.26,89,97,1.33,ID,1673305403
345,kavieng,-2.5744,150.7967,28.3,73,55,1.94,PG,1673305405
346,ugoofaaru,5.6667,73.0,26.86,73,100,3.87,MV,1673305202
347,bardiyah,31.7561,25.0865,14.66,66,8,3.47,LY,1673305406
348,zanjan,36.6736,48.4787,-6.95,80,99,2.88,IR,1673305407
349,boissevain,49.2306,-100.0559,-1.72,93,100,1.74,CA,1673305408
350,itarema,-2.9248,-39.9167,26.11,77,96,5.87,BR,1673305410
351,micheweni,-4.9667,39.8333,26.03,85,14,3.54,TZ,1673305411
352,castro,-24.7911,-50.0119,16.47,96,67,2.97,BR,1673305412
353,asau,46.4333,26.4,4.6,93,98,1.77,RO,1673305413
354,kuching,1.55,110.3333,26.13,91,40,1.03,MY,1673305200
355,inuvik,68.3499,-133.7218,-25.1,100,98,2.04,CA,1673305414
356,millinocket,45.6573,-68.7098,-2.94,74,100,0.0,US,1673305415
357,atambua,-9.1061,124.8925,23.94,81,57,0.65,ID,1673305416
358,port hedland,-20.3167,118.5667,27.03,83,40,3.09,AU,1673305221
359,huarmey,-10.0681,-78.1522,22.44,74,55,4.2,PE,1673305418
360,catuday,16.2923,119.8062,23.1,80,84,3.77,PH,1673305364
361,shymkent,42.3,69.6,-7.67,93,100,1.0,KZ,1673305421
362,cedral,23.8,-100.7333,21.83,21,16,0.52,MX,1673305422
363,nalut,30.3333,10.85,9.28,36,0,4.23,LY,1673305423
